Application,Vendor,Migration Phase,Start Date,Estimated End Date,Status,Progress,Comment on status
Example 1,Vendor 1,0,1/09/2025,31/12/2026,On Track,80%,"Comment on Progress, This is what we have been working on, This is where it is up to, This is what we are working on next"
Example 2,Vendor 1,1,1/09/2025,31/12/2026,On Track,70%,"Comment on Progress, This is what we have been working on, This is where it is up to, This is what we are working on next"
Example 3,Vendor 1,1,1/09/2025,31/12/2026,On Track,60%,"Comment on Progress, This is what we have been working on, This is where it is up to, This is what we are working on next"
Example 4,Vendor 1,1,1/09/2025,31/12/2026,At Risk,50%,"Comment on Progress, This is what we have been working on, This is where it is up to, This is what we are working on next"
Example 5,Vendor 1,1,1/09/2025,31/12/2026,At Risk,40%,"Comment on Progress, This is what we have been working on, This is where it is up to, This is what we are working on next"
Example 6,Vendor 1,2,1/09/2025,31/12/2026,At Risk,30%,"Comment on Progress, This is what we have been working on, This is where it is up to, This is what we are working on next"
Example 7,Vendor 1,2,1/09/2025,31/12/2026,At Risk,30%,"Comment on Progress, This is what we have been working on, This is where it is up to, This is what we are working on next"
Example 8,Vendor 1,2,1/09/2025,31/12/2026,At Risk,30%,"Comment on Progress, This is what we have been working on, This is where it is up to, This is what we are working on next"
Example 9,Vendor 1,2,1/09/2025,31/12/2026,Off Track,20%,"Comment on Progress, This is what we have been working on, This is where it is up to, This is what we are working on next"
Example 10,Vendor 1,3,1/09/2025,31/12/2026,On Track,60%,"Comment on Progress, This is what we have been working on, This is where it is up to, This is what we are working on next"
Example 11,Vendor 1,3,1/09/2025,31/12/2026,On Track,70%,"Comment on Progress, This is what we have been working on, This is where it is up to, This is what we are working on next"
Example 12,Vendor 1,3,1/09/2025,31/12/2026,On Track,50%,"Comment on Progress, This is what we have been working on, This is where it is up to, This is what we are working on next"
Example 13,Vendor 1,3,1/09/2025,31/12/2026,On Track,80%,"Comment on Progress, This is what we have been working on, This is where it is up to, This is what we are working on next"
Example 14,Vendor 1,4,1/09/2025,31/12/2026,Off Track,10%,"Comment on Progress, This is what we have been working on, This is where it is up to, This is what we are working on next"
Example 15,Vendor 1,4,1/09/2025,31/12/2026,On Hold,0%,"Comment on Progress, This is what we have been working on, This is where it is up to, This is what we are working on next"
Example 16,Vendor 1,4,1/09/2025,31/12/2026,On Hold,0%,"Comment on Progress, This is what we have been working on, This is where it is up to, This is what we are working on next"
Example 17,Vendor 1,4,1/09/2025,31/12/2026,Off Track,6%,"Comment on Progress, This is what we have been working on, This is where it is up to, This is what we are working on next"
Example 18,Vendor 1,5,1/09/2025,31/12/2026,At Risk,35%,"Comment on Progress, This is what we have been working on, This is where it is up to, This is what we are working on next"
Example 19,Vendor 1,5,1/09/2025,31/12/2026,At Risk,40%,"Comment on Progress, This is what we have been working on, This is where it is up to, This is what we are working on next"
Example 20,Vendor 1,5,1/09/2025,31/12/2026,In Progress,78%,"Comment on Progress, This is what we have been working on, This is where it is up to, This is what we are working on next"
Example 21,Vendor 1,5,1/09/2025,31/12/2026,Completed,100%,"Comment on Progress, This is what we have been working on, This is where it is up to, This is what we are working on next"
Example 22,Vendor 1,5,1/09/2025,31/12/2026,On Hold,0%,"Comment on Progress, This is what we have been working on, This is where it is up to, This is what we are working on next"
Example 23,Vendor 1,6,1/09/2025,31/12/2026,On Hold,0%,"Comment on Progress, This is what we have been working on, This is where it is up to, This is what we are working on next"
